agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DOJ,Department of Justice,DOJ-0014,Dun & Bradstreet Business Establishments Data,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Procurement and Finance Mgmt,Classical ML,"The purpose of the AI use case in Dun & Bradstreet Business Establishments Data is to analyze business information, detect irregularities, and assess potential risks more efficiently. AI-driven data integration, anomaly detection, and trend analysis automate what would otherwise be intensive manual evaluations.","The expected benefit is more targeted attention on atypical organizations, improving efficiency and reducing randomness.","The AI features generate risk indicators, show relationships, help focus examination resources.",01/2024,Vendor Purchased,Dun and Bradstreet Holdings Inc.,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0015,Axon Evidence.com,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Computer Vision,"ATF's use of Axon body-worn cameras and the associated evidence.com service are integral to ensuring ATF's compliance with DOJ policy documented in DOJ OIG, Inspector General Manual, Volume III, Chapter 236, Body Worn Camera Program. Body cam videos are transferred to the Axon Evidence.com service, which includes AI-based features for performing recognition of heads in videos for the purpose of redaction. ATF has performed limited testing of these capabilities, but is not operationally using them.","Evidence.com provides AI-based features that identify the presence of heads in videos and can perform automated redaction. This would increase the efficiency of redacting video evidence for release. However, ATF is not operationally using them.","Evidence.com AI capabilities will output bounding boxes around heads that are identified in videos, for input to redaction processes. These AI functions are not being operationally used.",01/2020,Vendor Purchased,Axon,Yes,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0016,Federal Docket Management System,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,Not High-impact,"Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Admin Functions,Computer Vision,"This system allows agencies to receive comments that are submitted electronically in response to rulemaking initiatives. The system has features that categorize comments based on text analytics, allows agencies to make those comments public facing or redact them, and allows agencies to download the comments.","This product permits agencies to review the electronic comments received in response to rulemaking. The features in FDMS allow agencies to bulk post up to 1,000 comments allowing the public to see their comments faster.",It is the place where agencies receive comments that are electronically submitted in response to a rulemaking. It allows agencies to make those comments public facing.,01/2024,Vendor Purchased,General Services Administration (GSA),No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0017,FINDER,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Classical ML,"The purpose of the AI use case in FINDER is to sift through violent crime and firearms trafficking data more efficiently. By employing machine learning to highlight significant patterns, suspects, or trends, it automates tasks that would normally require manual, resource-intensive reviews. This leads to quicker identification of essential insights, improves operational effectiveness, and ensures that effort is directed at the most pertinent leads, enhancing both speed and precision in investigative processes.",The expected benefit is more strategic attention to areas that may reduce negative outcomes or enhance preparedness.,"The AI features map trends, highlight recurrent factors, and propose focus points, reducing manual data reviews.",01/2024,Vendor Purchased,FINDER,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0018,First Two,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Classical ML,"The purpose of the AI use case in First Two is to link individuals to specific locations and visualize spatial relationships that might be important. By automating map-based data correlation, pattern discovery, and geospatial analysis, the system reduces manual data plotting and interpretation. This results in quicker recognition of significant activity areas, improved allocation of resources to critical locations, and overall enhancement of operational responsiveness and strategic planning.","The expected benefit is more efficient focus on frequently visited places/people, enhancing resource allocation where location matters.","The AI features visualize activity geographically, spotlight frequent places, and suggest beneficial attention areas.",01/2021,Vendor Purchased,FirstTwo,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0019,LexisNexis Accurint,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,Classical ML,"The purpose of the AI use case in LexisNexis Accurint is to merge and analyze an array of public and proprietary records to build a clearer picture of individuals and entities. By automating data integration, filtering, and pattern recognition, it expedites the identification of relevant subjects and connections. This advanced approach reduces manual searching, enhances accuracy in linking data points, and strategically directs focus toward high-value leads, improving overall investigative efficiency and decision-making.","The expected benefit is accelerated ID of important figures/relationships, skipping disjointed dataset searches.","The AI features compile overviews, note aliases, highlight patterns, giving clear reference points for exploration.",01/2024,Vendor Purchased,LexisNexis,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0020,LexisNexis Babel Street,Department of Justice / ATF,AI@usdoj.gov,No,Retired,High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0021,Mark43 Public Safety Records,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,Classical ML,"The purpose of the AI use case in Mark43 Public Safety Records is to organize, categorize, and correlate extensive law enforcement data from various sources. By employing AI-driven classification, entity resolution, and data linking, it reduces the manual workload needed to extract meaningful insights. This empowers users to identify key relationships and patterns more rapidly, increases data accuracy, and supports more strategic use of investigative resources, ultimately improving both timeliness and quality of public safety operations.","The expected benefit is better informed decisionmaking, allowing focus on data likely to yield meaningful insights.","The AI features categorize documents, flag repeated factors, and highlight patterns hidden without assistance.",01/2024,Vendor Purchased,Mark43,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0022,National Insurance Crime Bureau ISO ClaimSearch,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Procurement and Finance Mgmt,Classical ML,"The purpose of the AI use case in National Insurance Crime Bureau ISO ClaimSearch is to analyze insurance claim data and highlight suspicious patterns or anomalies more efficiently. By applying AI-driven pattern recognition, risk assessment, and anomaly detection, it streamlines what would be a tedious manual review process. This leads to faster fraud identification, more accurate targeting of problematic claims, and better resource utilization, ultimately strengthening investigative outcomes.","The expected benefit is more effective resource use, targeting claims that differ from typical patterns rather than all equally.","The AI features produce lists of flagged claims, show patterns, and suggest where deeper validation might help.",01/2020,Vendor Purchased,ISO / Verisk Analytics / National Insurance Crime Bureau,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0024,Operational Planning Analytics Risk Management Solution (OPARMS),Department of Justice / ATF,AI@usdoj.gov,No,Pre-deployment,High-impact,,Law Enforcement,Computer Vision,"The Operational Planning Analytics Risk Management Solution (OPARMS) creates op plans within ATF's case management system, eliminating the previous system for generating op plans. ATF anticipates that OPARMS will also provide dashboard overviews of the op plans and risk data for all op plans.","Improve operational planning, data collection, and risk mitigation. Reduce time to fill out op plans. Increase accuracy of data entered into ops plans by populating info from other ATF systems. Reduce approval times by routing and tracking op plans through OPARMS. Increase collection of operations planning and after action reports. Collect and store data to begin developing the analytics for calculating and identifying risk in operations allowing team members to better mitigate those risks.","1.  Risk rating of proposed operations
2.  Recommendations for resource allocation based on risk ratings",,,,,,,,,,[],,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0025,Palantir (via access to external state LE system),Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Generative AI,"This use case is being reported because Palantir has AI-based capabilities. However, ATF only accesses Palantir through task force partnerships with the a state law enforcement (LE) partner. The state LE agency uses Palantir as their case management system, and ATF's use is limited to searching for information which the state LE agency chooses to share with law enforcement partners. ATF has no involvement with or any knowledge of use of AI features by the state agency which runs the system.","ATF use of the state LE partner Palantir system is limited to searching for information which the state agency chooses to share with law enforcement partners. ATF has no involvement with, any knowledge of, or any expected benefits from use of AI by the state agency which runs the system.",Unknown. ATF only uses the system to perform standard search functions of information which state agency chooses to share with law enforcement partners.,01/2024,Vendor Purchased,Palantir,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0028,ShotSpotter (via access to external state/local systems),Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Classical ML,Rapidly locate gunshots and activity of potential investigative interest to alert relevant law enforcement agencies.,"Rapid detection of gunshots, which can help to decrease the time to respond to a violent crime.",Outputs sensor reports of gunshots and activity of investigative interest.,01/2024,Vendor Purchased,SoundThinking,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,No,,['k) None of the above'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0029,Southwest Border Transaction Record Analysis Center (SWBTRAC),Department of Justice / ATF,AI@usdoj.gov,No,Deployed,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Procurement and Finance Mgmt,Classical ML,"The purpose of the AI use case in Southwest Border Transaction Record Analysis Center (SWBTRAC) is to monitor cross-border financial transactions and identify unusual activities more efficiently. By integrating AI-driven anomaly detection, trend analysis, and risk scoring, it simplifies manual review and directs attention to truly irregular transfers. This approach ensures that investigative focus is applied judiciously, improves accuracy, and enhances strategic use of resources in addressing cross-border financial concerns.","The expected benefit is faster recognition of outlier scenarios, focusing on meaningful transactions rather than all equally.","The AI features provide alerts, highlight unusual transfers, and explain why certain activities warrant closer observation.",01/2024,Vendor Purchased,Western Union,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0030,Spokeo,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,Classical ML,"The purpose of the AI use case in Spokeo is to aggregate and enrich publicly accessible personal data to create comprehensive profiles. AI-based entity resolution, data linkage, and pattern recognition automate the task of piecing together scattered details. This significantly reduces manual workload, sharpens the accuracy of identifying individuals of interest, and ensures that investigative energies are invested where they can yield the most valuable insights.","The expected benefit is quicker access to comprehensive background details, easily identifying individuals of interest.","The AI features assemble contact info, historical records, and related data into a cohesive presentation.",01/2024,Vendor Purchased,Spokeo,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0031,Thomson Reuters CLEAR,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,NLP,"The purpose of the AI use case in Thomson Reuters Clear is to consolidate and analyze diverse records, creating coherent profiles of individuals and entities. By applying AI-driven data integration, entity resolution, and intelligent filtering, it automates traditionally manual tasks. This leads to faster identification of subjects of interest, improved accuracy in linking related data points, and a more strategic use of time and resources. Ultimately, AI integration enhances investigative effectiveness, reduces errors, and supports more targeted research.","The expected benefit is reduced manual effort, enabling quicker discovery of relevant profiles/relationships.","The AI features organize profiles, indicate links, and suggest deeper review areas, streamlining fragmented processes.",01/2024,Vendor Purchased,Thomson Reuters,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0032,TransUnion TLOxp Online Investigative Services,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,Classical ML,"The purpose of the AI use case in TransUnion TLOxp Online Investigative Services is to gather and analyze diverse personal, financial, and asset-related data more effectively. By implementing AI for entity resolution, risk scoring, and pattern detection, it replaces manual data handling with automated insights. This accelerates the discovery of meaningful leads, reduces errors, and ensures attention is concentrated on cases truly warranting further review, improving both accuracy and resource allocation.","The expected benefit is better time/effort use, focusing on subjects/data points that seem more meaningful.","The AI features highlight key personal details, indicate anomalies, and present data in a structured format for deeper inquiry.",01/2024,Vendor Purchased,TransUnion,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0033,Veritone Redact,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Admin Functions,Generative AI,The purpose of the AI use case in Veritone Redact is to support ATF in processing Freedom of Information Act (FOIA) requests by automating the redaction of sensitive information within audio and video files.,"The expected benefits of the AI use case in Veritone Redact involve enhancing the efficiency and accuracy of redacting sensitive information within audio and video files. By automating the identification and redaction of personally identifiable information and other confidential content, the AI reduces the time and effort required from staff to process multimedia materials. This leads to faster turnaround times for releasing information, thereby reducing customer wait times for FOIA requests. The AI-driven redaction process also helps ensure compliance with privacy laws and regulations, minimizing the risk of inadvertently disclosing sensitive information. These efficiencies result in cost savings through reduced labor hours and improved resource allocation. Overall, the AI in Veritone Redact is expected to improve operational efficiency, enhance compliance, and support timely access to information for the public.",The AI system in Veritone Redact outputs recommendations and automated actions to support the redaction of sensitive information within audio and video files. It intelligently identifies personally identifiable information and other confidential content that may need to be redacted under legal exemptions. All suggested redactions are reviewed and approved by human staff to ensure compliance with legal standards.,11/2024,Vendor Purchased,aiWARE,Yes,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0034,Whooster,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Classical ML,"The purpose of the AI use case in Whooster is to integrate and analyze data from multiple sources to build comprehensive profiles on persons or entities of interest. AI-driven entity resolution, relationship mapping, and data enrichment help automate what would otherwise be manual, time-consuming cross-referencing. This improves the speed and accuracy of identifying relevant connections, ensures more targeted follow-up, and optimizes the allocation of investigative resources.","The expected benefit is more effective use of time, focusing on particularly relevant subjects.","The AI features compile profiles, highlight relationships, and present context, ensuring key info is easily accessible.",01/2024,Vendor Purchased,Whooster,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0035,Commercial LPR (via HIDTA partners),Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Computer Vision,This capability is not provided or managed by ATF. It provides ATF staff access to Flock license plate reader systems which are provided and managed by High Intensity Drug Trafficking Area (HIDTA) partner agencies.,License plate reader systems are used by law enforcement to assist with identification of vehicles associated with criminal investigations. ATF has no role in training or managing AI capabilities which are incidental to providing the service.,Alphanumeric characters and/or symbols associated with vehicle license plates,01/2024,Vendor Purchased,Flock Safety,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['k) None of the above'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0036,ELSAG/Leonardo (via HIDTA partners),Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Classical ML,This capability is not provided or managed by ATF. It provides ATF staff access to ELSAG license plate reader systems which are provided and managed by High Intensity Drug Trafficking Area (HIDTA) partner agencies.,License plate reader systems are used by law enforcement to assist with identification of vehicles associated with criminal investigations. ATF has no role in training or managing AI capabilities which are incidental to providing the service.,Alphanumeric characters and/or symbols associated with vehicle license plates,01/2024,Vendor Purchased,Leonardo US Cyber and Security Solutions LLC,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['k) None of the above'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0038,Thomson Reuters Vigilant Vehicle Manager,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Computer Vision,"The purpose of the AI use case in Thomson Reuters Vigilant Vehicle Manager is to intelligently organize, correlate, and analyze large volumes of license plate and vehicle sightings data. By automating the identification of recurring patterns and providing data-driven insights, it streamlines the workflow for identifying vehicles that may warrant attention. The AI capabilities reduce time-consuming manual reviews, improve accuracy in spotting significant trends, and help allocate investigative resources more effectively for timely and well-informed actions.",License plate reader systems are used by law enforcement to assist with identification of vehicles associated with criminal investigations. ATF has no role in training or managing AI capabilities which are incidental to providing the service.,"The AI features produce overviews of vehicle activity, highlight recurring patterns, and point to areas for further review.",09/2020,Vendor Purchased,Motorola,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0270,PLX,Department of Justice / ATF,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,NLP,"Forensic analysis of data from multiple electronic investigation sources, including mobile phones, computers, and warrant returns, within the context of criminal investigations.",Increases the efficiency of identifying pertinent information within the context of criminal investigations.,Notifications of potential entity matches for review. Link analysis visualizations.,01/2024,Vendor Purchased,PenLink,No,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0039,Veritone Illuminate,Department of Justice / ATR,AI@usdoj.gov,No,Deployed,High-impact,,Law Enforcement,Computer Vision,Veritone Illuminate is a cloud-based application that provides machine translation and audio and video analysis transcription to aid human review in investigations. The product allows us to leverage artificial intelligence (AI) to systematically turn unstructured data (audio and video files) into structured data. The structured data can be easily searchable and provide more value to our cases.,"Converts audio and video files to text searchable formats, and quickly translates multiple native languages into English-based text for more efficient review.","audio/video transcription text
face detection (not used)
object/scene detection results in images/videos
text extraction from images
speaker identification in audio
pattern recognition results
entity extraction",01/2023,Vendor Purchased,Veritone,Yes,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['k) None of the above'],No,,In-progress,In-progress,"Consistent with Executive Orders and OMB guidance, the case owner relied on DOJ AI governance practices to evaluate impacts and risks.",In-progress,In-progress,Training In-progress,In-progress,Appeal Process In-progress,['In-progress']
DOJ,Department of Justice,DOJ-0040,"SAS (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice / ATR,AI@usdoj.gov,No,Pre-deployment,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,Classical ML,Forecasting market conditions using various data sources for economic analyses.,"Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support micro - and macro-level analysis.","predictive model outputs
statistical analysis
natural language processing
text analytics
forecasting predictions
optimization recommendations
risk analysis scores
anomaly detection 
customer segmentation groupings
decision tree analysis paths",,,,,,,,,,[],,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0041,"R (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice / ATR,AI@usdoj.gov,No,Pre-deployment,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,Generative AI,Forecasting market conditions using various data sources for economic analyses.,"Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support micro - and macro-level analysis.","predictive model outputs
statistical analysis
natural language processing
text analytics
forecasting predictions
optimization recommendations
risk analysis scores
anomaly detection 
customer segmentation groupings
decision tree analysis paths",,,,,,,,,,[],,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0042,"Stata (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice / ATR,AI@usdoj.gov,No,Pre-deployment,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,Generative AI,Forecasting market conditions using various data sources for economic analyses.,"Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support micro - and macro-level analysis.","predictive model outputs
statistical analysis
natural language processing
text analytics
forecasting predictions
optimization recommendations
risk analysis scores
anomaly detection 
customer segmentation groupings
decision tree analysis paths",,,,,,,,,,[],,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0043,"Matlab (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice / ATR,AI@usdoj.gov,No,Pre-deployment,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,Generative AI,Forecasting market conditions using various data sources for economic analyses.,"Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support micro - and macro-level analysis.","predictive model outputs
statistical analysis
natural language processing
text analytics
forecasting predictions
optimization recommendations
risk analysis scores
anomaly detection 
customer segmentation groupings
decision tree analysis paths",,,,,,,,,,[],,,,,,,,,,,[]
DOJ,Department of Justice,DOJ-0044,"Databricks (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice / ATR,AI@usdoj.gov,No,Pilot,"Presumed High-Impact, but Not High-impact","Does not produce an output that serves as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the individuals or entities identified in OMB-25-21.",Law Enforcement,Generative AI,"Client-side and SaaS products that contains fundamental modeling, AI and machine learning techniques for predictive modeling, natural language processing, computer vision and deep learning. Design and develop sophisticated economic models to analyze markets.","Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support micro - and macro-level analysis.","predictive model outputs
statistical analysis
natural language processing
text analytics
forecasting predictions
optimization recommendations
risk analysis scores
anomaly detection 
customer segmentation groupings
decision tree analysis paths",04/2023,Vendor Purchased,Databricks,Yes,Redacted for cybersecurity purposes.,"The case owner relied on DOJ AI governance practices to select and prepare data, as well as evaluate performance.",,Yes,,['This AI use case utilizes one or more of the demographic variables listed in compliance with all federal laws and agency regulations.'],No,,,,,,,,,,[]
